Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2021-08-09,4.22,4.34,2928.04,2911.21,2909.85
2021-10-13,4.67,4.79,2952.07,2934.11,2934.11
2021-11-10,5.25,5.37,2917.95,2900.42,2900.42
2021-09-14,4.51,4.63,2930.71,2912.91,2912.91
2021-10-27,5.45,5.57,2867.5,2850.36,2850.36
2022-01-27,5.33,5.45,3001.87,2985.25,2985.25
2022-02-02,5.24,5.36,3019.18,3002.51,3002.51
2022-01-07,5.35,5.47,2977.52,2959.6,2959.6
2022-01-04,5.11,5.23,3004.08,2987.14,2987.14
2022-04-27,5.35,5.47,3137.01,3120.26,3120.26
2022-05-06,5.5,5.62,3135.69,3116.9,3116.9
2021-10-07,4.66,4.78,2946.6,2928.56,2928.56
2021-10-04,4.6,4.72,2949.6,2931.5,2931.5
2021-10-21,5.29,5.41,2878.22,2861.27,2861.27
2021-11-05,5.28,5.4,2903.83,2884.64,2884.64
2021-10-11,4.68,4.8,2949.04,2929.96,2929.96
2021-08-10,4.24,4.36,2927.34,2910.54,2909.15
2021-09-21,4.49,4.61,2942.78,2924.83,2924.83
2021-12-03,4.97,5.09,2991.42,2971.65,2971.65
2022-01-31,5.33,5.45,3005.23,2988.62,2988.62
2021-12-13,4.82,4.94,3019.82,3002.22,3002.22
2022-01-10,5.36,5.48,2977.43,2960.7,2960.7
2022-04-18,5.43,5.55,3115.77,3099.05,3099.05
2022-02-24,5.47,5.59,3015.8,2998.91,2998.91
2022-02-25,5.4,5.52,3030.42,3009.44,3009.44
2022-03-02,5.45,5.57,3025.68,3008.76,3008.76
2021-10-22,5.28,5.4,2882.07,2863.81,2863.81
2021-11-12,5.2,5.32,2931.38,2910.51,2910.51
2021-10-29,5.7,5.82,2840.16,2821.36,2821.36
2021-09-15,4.48,4.6,2936.32,2918.36,2918.36
2021-10-20,5.06,5.18,2907.4,2890.26,2890.26
2021-10-18,4.82,4.94,2937.14,2919.78,2919.78
2021-09-28,4.66,4.78,2932.1,2914.06,2914.06
2021-09-23,4.49,4.61,2945.74,2927.8,2927.8
2021-12-15,4.94,5.06,3006.5,2989.29,2989.29
2022-02-03,5.2,5.32,3025.52,3008.83,3008.83
2022-01-14,5.34,5.46,2988.99,2971.29,2971.29
2021-12-16,4.91,5.03,3011.75,2994.52,2994.52
2022-01-28,5.31,5.43,3006.67,2988.98,2988.98
2022-04-14,5.36,5.48,3123.3,3103.33,3103.33
2022-04-20,5.31,5.43,3134.81,3117.22,3117.22
2021-09-22,4.48,4.6,2945.64,2927.68,2927.68
2021-08-05,4.05,4.17,2947.62,2930.63,2929.28
2021-10-14,4.65,4.77,2956.47,2938.49,2938.49
2021-11-11,5.17,5.29,2930.28,2912.69,2912.69
2021-11-09,5.21,5.33,2916.15,2898.82,2898.82
2021-10-06,4.77,4.89,2929.91,2911.97,2911.97
2021-12-09,4.89,5.01,3008.72,2991.03,2991.03
2022-01-18,5.38,5.5,2985.92,2969.39,2969.39
2021-12-17,5.02,5.14,2999.68,2981.21,2981.21
2022-03-04,5.57,5.69,3015.73,2996.9,2996.9
2022-04-19,5.28,5.4,3136.44,3119.61,3119.61
2022-04-29,5.34,5.46,3145.94,3127.03,3127.03
2022-05-09,5.57,5.69,3128.46,3111.68,3111.68
2021-08-26,4.33,4.45,2931.67,2915.02,2913.9
2021-09-01,4.44,4.56,2922.13,2905.6,2904.47
2021-09-10,4.58,4.7,2918.43,2902.02,2899.06
2021-08-13,4.41,4.53,2909.16,2892.52,2889.72
2021-09-29,4.61,4.73,2940.65,2922.57,2922.57
2021-07-28,3.87,3.99,2963.56,2946.36,2945.03
2021-12-23,4.95,5.07,3016.56,2996.8,2996.8
2022-01-19,5.37,5.49,2988.26,2971.73,2971.73
2022-03-10,5.67,5.79,3009.73,2992.99,2992.99
2021-03-23,3.52,3.64,2897.3,2879.27,2878.05
2021-03-26,3.59,3.71,2894.13,2876.17,2872.88
2021-05-24,3.53,3.65,2947.92,2930.14,2929.06
2021-05-27,3.62,3.74,2937.92,2920.26,2919.16
2021-08-02,4.05,4.17,2943.59,2926.58,2925.23
2021-09-08,4.61,4.73,2905.13,2888.78,2887.63
2021-09-02,4.46,4.58,2920.5,2903.99,2902.86
2021-08-16,4.47,4.59,2901.84,2885.27,2884.25
2021-11-08,5.36,5.48,2894.89,2877.68,2877.68
2021-08-31,4.36,4.48,2932.1,2915.48,2914.36
2021-11-30,5.07,5.19,2971.01,2953.46,2953.46
2021-07-29,3.92,4.04,2957.71,2940.57,2939.24
2022-05-31,5.62,5.74,3151.78,3135.49,3135.49
2022-03-03,5.52,5.64,3018.41,3001.55,3001.55
2022-05-16,5.54,5.66,3145.17,3128.88,3128.88
2021-05-18,3.38,3.5,2964.75,2946.79,2945.72
2021-07-07,3.75,3.87,2959.42,2942.02,2941.01
2021-04-20,3.67,3.79,2904.66,2886.86,2885.68
2021-05-28,3.55,3.67,2950.71,2932.97,2930.54
2021-11-18,5.2,5.32,2936.05,2918.68,2918.68
2021-09-27,4.61,4.73,2934.19,2916.35,2916.35
2021-11-17,5.27,5.39,2925.26,2907.95,2907.95
2021-08-25,4.54,4.66,2900.35,2883.89,2882.86
2021-08-23,4.62,4.74,2887.31,2870.91,2869.87
2021-11-23,5.21,5.33,2941.33,2923.97,2923.97
2021-10-28,5.49,5.61,2863.85,2846.75,2846.75
2022-05-20,5.45,5.57,3162.05,3144.8,3144.8
2022-06-01,5.56,5.68,3160.59,3144.27,3144.27
2022-05-23,5.39,5.51,3170.8,3154.45,3154.45
2021-04-29,3.39,3.51,2950.63,2932.58,2931.9
2021-05-06,3.52,3.64,2935.08,2917.22,2916.52
2021-07-20,3.63,3.75,2987.76,2970.3,2969.12
2021-04-06,3.61,3.73,2902.27,2884.35,2882.97
2021-04-09,3.61,3.73,2905.49,2887.58,2884.58
2021-11-19,5.16,5.28,2944.82,2925.5,2925.5
2021-11-25,5.05,5.17,2965.64,2948.17,2948.17
2021-09-06,4.56,4.68,2910.85,2894.44,2892.69
2021-08-06,4.27,4.39,2919.66,2902.88,2899.78
2021-08-30,4.36,4.48,2930.98,2914.36,2913.23
2021-09-13,4.53,4.65,2926.63,2908.84,2908.84
2021-09-03,4.47,4.59,2921.48,2904.99,2902.62
2021-08-11,4.23,4.35,2930.13,2913.32,2911.93
2022-05-24,5.49,5.61,3159.26,3142.98,3142.98
2022-03-18,5.62,5.74,3031.59,3013.08,3013.08
2022-06-03,5.55,5.67,3165.61,3148.09,3148.09
2022-05-03,5.47,5.59,3132.62,3115.76,3115.76
2021-06-02,3.46,3.58,2968.0,2950.19,2948.43
2021-07-01,3.77,3.89,2951.36,2933.96,2932.95
2021-05-25,3.48,3.6,2956.43,2938.6,2937.53
2021-11-24,5.11,5.23,2956.12,2938.69,2938.69
2021-11-04,5.21,5.33,2909.57,2892.24,2892.24
2021-08-19,4.77,4.89,2863.74,2847.47,2846.43
2021-11-26,5.13,5.25,2959.75,2940.13,2940.13
2021-08-27,4.4,4.52,2924.3,2907.72,2905.36
2021-12-29,5.03,5.15,3008.68,2991.66,2991.66
2022-01-20,5.3,5.42,2998.38,2981.81,2981.81
2022-03-22,5.52,5.64,3047.4,3030.64,3030.64
2022-03-23,5.39,5.51,3065.51,3048.67,3048.67
2022-02-21,5.36,5.48,3024.56,3007.63,3007.63
2021-06-01,3.44,3.56,2969.23,2951.39,2950.31
2021-06-16,3.59,3.71,2964.48,2946.83,2945.85
2021-04-27,3.45,3.57,2941.5,2923.49,2922.71
2021-08-17,4.47,4.59,2902.86,2886.3,2885.27
2021-08-24,4.57,4.69,2895.2,2878.76,2877.73
2021-09-09,4.72,4.84,2896.34,2880.06,2878.71
2021-01-19,2.7,2.82,2971.07,2951.84,2951.26
2020-11-18,2.89,3.01,2862.84,2843.8,2843.02
2020-12-18,2.48,2.6,2966.78,2947.27,2943.4
2020-05-22,3.11,3.23,2726.37,2706.72,2707.35
2020-06-17,2.69,2.81,2794.77,2774.77,2774.26
2020-05-26,2.78,2.9,2781.2,2761.12,2761.13
2020-10-14,2.81,2.93,2841.81,2822.58,2821.66
2020-10-19,2.87,2.99,2836.05,2816.9,2816.0
2020-10-16,2.93,3.05,2825.55,2806.48,2804.41
2020-10-09,2.83,2.95,2836.76,2817.54,2814.82
2020-09-25,2.65,2.77,2851.94,2832.46,2830.77
2020-09-11,2.49,2.61,2869.06,2849.29,2848.34
2021-01-20,2.8,2.92,2955.61,2936.52,2935.93
2020-12-02,2.78,2.9,2895.06,2875.91,2874.85
2021-01-05,2.32,2.44,3014.13,2994.41,2992.96
2020-12-30,2.36,2.48,3004.65,2984.97,2978.61
2020-06-12,2.67,2.79,2796.63,2776.57,2777.29
2020-05-07,3.45,3.57,2674.36,2655.01,2654.83
2020-05-08,3.53,3.65,2658.94,2639.73,2640.17
2020-06-25,2.77,2.89,2784.86,2765.02,2764.5
2020-10-15,2.88,3.0,2831.48,2812.34,2811.43
2020-10-20,2.84,2.96,2841.76,2822.58,2821.68
2020-09-18,2.54,2.66,2863.88,2844.22,2843.22
2020-10-21,2.84,2.96,2842.66,2823.49,2822.58
2020-09-28,2.62,2.74,2857.6,2838.08,2837.31
2020-09-29,2.93,3.05,2808.27,2789.16,2788.37
2020-09-15,2.45,2.57,2876.7,2856.9,2856.37
2021-01-26,2.85,2.97,2950.5,2931.5,2930.9
2020-11-25,2.99,3.11,2854.87,2835.96,2834.89
2020-12-04,2.6,2.72,2927.65,2908.28,2905.74
2021-02-01,2.64,2.76,2987.4,2968.18,2967.58
2020-05-25,2.96,3.08,2751.15,2731.31,2731.31
2020-06-18,2.66,2.78,2800.3,2780.26,2779.75
2020-06-19,2.67,2.79,2799.53,2779.51,2778.6
2020-09-16,2.47,2.59,2873.91,2854.14,2853.61
2020-09-17,2.56,2.68,2859.59,2839.96,2839.42
2020-10-22,2.82,2.94,2846.77,2827.58,2826.68
2020-08-12,2.2,2.32,2904.79,2884.44,2883.84
2020-11-04,2.96,3.08,2837.83,2818.84,2817.76
2020-07-30,2.2,2.32,2898.32,2877.89,2877.28
2021-01-22,2.87,2.99,2946.73,2927.75,2926.05
2020-12-11,2.48,2.6,2957.29,2937.77,2934.87
2021-02-03,2.63,2.75,2990.21,2970.99,2970.39
2020-06-02,2.77,2.89,2780.69,2760.68,2760.76
2020-05-06,3.46,3.58,2672.56,2653.22,2653.03
2020-06-24,2.74,2.86,2789.34,2769.45,2768.94
2020-10-26,2.92,3.04,2835.6,2816.53,2815.47
2020-10-27,2.97,3.09,2828.7,2809.7,2808.63
2020-11-05,2.93,3.05,2843.67,2824.64,2823.57
2020-11-27,2.95,3.07,2864.79,2845.84,2843.31
2021-01-06,2.48,2.6,2989.32,2969.81,2968.36
2020-11-23,2.98,3.1,2851.77,2832.86,2832.07
2021-03-10,3.1,3.22,2942.11,2923.61,2922.55
2021-02-08,2.65,2.77,2989.37,2970.21,2969.6
2020-12-08,2.58,2.7,2935.78,2916.38,2915.21
2021-02-17,2.74,2.86,2978.92,2959.91,2958.88
2020-06-23,2.72,2.84,2792.17,2772.24,2771.73
2020-06-09,2.73,2.85,2786.05,2766.05,2766.15
2020-06-26,2.66,2.78,2804.75,2784.76,2783.71
2020-06-10,2.68,2.8,2795.69,2775.62,2776.0
2020-10-29,3.05,3.17,2818.16,2799.27,2798.2
2020-10-30,3.01,3.13,2827.76,2808.82,2805.55
2020-10-01,2.77,2.89,2835.53,2816.23,2815.45
2020-11-06,2.88,3.0,2855.33,2836.23,2833.55
2021-01-15,2.73,2.85,2965.1,2945.89,2944.79
2020-11-24,3.06,3.18,2839.93,2821.12,2820.33
2021-02-10,2.77,2.89,2970.13,2951.15,2950.57
2021-01-27,2.89,3.01,2945.11,2926.16,2925.53
2021-01-12,2.75,2.87,2957.59,2938.4,2936.8
2020-12-28,2.4,2.52,2990.26,2970.64,2969.2
2021-03-05,3.18,3.3,2926.61,2908.17,2905.75
2020-06-15,2.74,2.86,2785.41,2765.46,2764.94
2020-04-22,2.88,3.0,2769.55,2749.28,2748.99
2020-06-16,2.64,2.76,2802.66,2782.58,2782.07
2020-11-11,2.89,3.01,2857.07,2838.0,2836.88
2020-11-09,2.78,2.9,2872.47,2853.25,2852.14
