Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2017-11-03,5.31,5.43,1224.27,1200.17,1199.36
2017-10-02,5.07,5.19,1262.88,1237.84,1237.56
2018-04-26,5.28,5.4,1280.82,1256.27,1255.89
2018-03-27,5.13,5.25,1304.84,1279.67,1279.36
2018-07-17,5.86,5.98,1202.94,1180.31,1179.9
2019-01-08,4.8,4.92,1470.58,1443.42,1443.09
2018-08-24,5.65,5.77,1254.97,1231.46,1231.19
2018-09-24,5.96,6.08,1201.22,1178.89,1178.46
2018-02-01,5.04,5.16,1309.8,1284.31,1283.15
2017-09-29,5.07,5.19,1262.6,1237.56,1237.2
2018-02-20,5.05,5.17,1311.67,1286.21,1285.77
2018-02-23,5.04,5.16,1315.52,1290.0,1289.2
2017-11-28,5.39,5.51,1215.24,1191.42,1191.02
2018-05-23,5.56,5.68,1231.7,1208.25,1207.84
2018-05-25,5.48,5.6,1247.99,1224.22,1223.69
2018-05-29,5.64,5.76,1217.12,1193.99,1193.64
2018-03-23,5.12,5.24,1306.38,1281.17,1280.74
2018-06-21,5.87,5.99,1183.27,1160.91,1160.31
2018-07-16,5.78,5.9,1217.87,1194.94,1194.52
2018-10-29,5.03,5.15,1405.23,1379.03,1378.51
2018-10-01,5.95,6.07,1205.6,1183.22,1182.79
2018-10-02,5.87,5.99,1221.21,1198.53,1198.09
2018-09-25,6.0,6.12,1194.16,1171.98,1171.55
2018-10-18,5.3,5.42,1342.42,1317.42,1316.94
2018-02-05,5.11,5.23,1295.28,1270.1,1269.68
2018-02-07,5.12,5.24,1294.0,1268.86,1268.44
2017-10-10,5.02,5.14,1276.04,1250.76,1250.45
2017-10-19,5.08,5.2,1266.01,1240.98,1240.55
2018-05-30,5.63,5.75,1219.52,1196.34,1195.9
2018-04-18,5.24,5.36,1286.66,1261.95,1261.56
2018-06-07,5.95,6.07,1160.68,1138.72,1138.37
2018-06-06,5.89,6.01,1171.48,1149.3,1148.94
2018-06-25,5.9,6.02,1181.09,1158.79,1158.05
2018-06-26,5.78,5.9,1204.61,1181.85,1181.09
2018-03-09,5.09,5.21,1309.08,1283.75,1283.05
2018-07-18,5.8,5.92,1214.85,1191.99,1191.57
2018-07-20,5.68,5.8,1239.31,1215.97,1215.27
2018-10-30,5.15,5.27,1379.54,1353.86,1353.35
2018-08-29,5.78,5.9,1230.35,1207.35,1207.08
2018-08-14,5.62,5.74,1258.73,1235.11,1234.7
2017-10-06,5.14,5.26,1250.13,1225.38,1224.94
2017-11-08,5.32,5.44,1223.56,1199.5,1199.06
2017-11-22,5.35,5.47,1221.76,1197.79,1197.34
2018-03-02,5.1,5.22,1304.7,1279.43,1278.72
2018-03-06,5.06,5.18,1314.07,1288.62,1288.21
2018-06-08,5.85,5.97,1181.6,1159.23,1158.51
2018-07-25,5.72,5.84,1232.43,1209.25,1208.86
2018-07-26,5.75,5.87,1226.98,1203.91,1203.52
2018-07-04,5.79,5.91,1208.27,1185.47,1184.71
2015-06-22,5.93,6.03,847.3,831.6,831.18
2015-06-23,5.92,6.02,849.3,833.57,833.16
2015-04-20,6.04,6.14,809.85,794.74,794.16
2015-05-27,5.84,5.94,852.28,836.42,836.08
2014-07-09,6.11,6.21,714.65,700.8,700.54
2014-07-10,6.11,6.21,714.91,701.06,700.8
2014-05-29,6.14,6.24,701.8,688.13,687.86
2014-11-03,5.97,6.07,757.75,743.28,742.99
2014-10-28,6.18,6.28,726.32,712.47,712.19
2014-10-29,6.01,6.11,750.82,736.48,736.19
2014-12-18,6.41,6.51,706.96,693.6,693.25
2014-12-23,6.24,6.34,732.3,718.45,717.55
2015-02-11,6.34,6.44,736.02,722.2,721.73
2015-01-19,5.99,6.09,776.28,761.61,761.15
2014-11-18,6.39,6.49,702.11,688.79,688.47
2015-07-22,6.25,6.35,808.06,793.2,792.87
2015-06-01,5.89,5.99,845.65,829.93,829.59
2015-07-23,6.45,6.55,779.13,764.83,764.49
2015-06-08,5.97,6.07,834.87,819.37,819.04
2015-06-12,5.95,6.05,841.18,825.58,824.8
2014-06-02,6.0,6.1,722.18,708.11,707.83
2014-06-17,6.12,6.22,708.62,694.85,694.6
2014-05-30,6.06,6.16,713.43,699.53,699.04
2014-07-18,6.16,6.26,709.68,695.95,695.61
2014-10-30,6.0,6.1,752.56,738.19,737.9
2014-12-24,6.25,6.35,730.91,717.08,716.54
2014-11-07,6.21,6.31,724.5,710.7,710.24
2015-02-12,6.41,6.51,726.78,713.15,712.69
2015-02-20,6.35,6.45,738.56,724.7,723.73
2014-11-26,5.81,5.91,787.03,772.03,771.72
2015-02-23,6.34,6.44,740.41,726.52,726.08
2015-07-24,6.64,6.74,752.82,739.03,738.41
2015-06-09,5.9,6.0,846.24,830.53,830.19
2015-03-18,6.39,6.49,744.36,730.45,729.95
2014-06-23,6.21,6.31,697.26,683.73,683.48
2014-08-04,6.2,6.3,706.24,692.61,692.41
2014-08-05,6.11,6.21,718.94,705.06,704.86
2014-06-03,6.12,6.22,705.6,691.86,691.59
2015-02-13,6.34,6.44,738.07,724.21,722.67
2015-02-18,6.35,6.45,737.12,723.29,722.84
2014-11-27,5.75,5.85,796.5,781.31,780.99
2014-11-28,5.73,5.83,800.17,784.91,784.32
2015-01-21,5.93,6.03,786.16,771.3,770.84
2015-03-02,6.06,6.16,783.93,769.21,768.73
2015-03-20,6.55,6.65,723.89,710.39,709.26
2015-04-27,6.12,6.22,799.67,784.77,784.38
2015-03-31,6.48,6.58,737.81,724.06,723.55
2014-07-25,5.93,6.03,743.2,728.81,728.56
2014-06-05,6.21,6.31,693.76,680.27,680.01
2014-06-06,6.24,6.34,690.11,676.7,676.23
2014-07-28,5.9,6.0,747.78,733.29,733.1
2014-12-30,6.25,6.35,733.64,719.78,718.16
2015-02-19,6.38,6.48,733.39,719.63,719.19
2015-01-02,6.2,6.3,740.68,726.68,725.95
2014-12-05,6.05,6.15,754.09,739.77,739.22
2015-01-23,5.99,6.09,778.7,764.0,762.98
2015-01-27,5.93,6.03,788.93,774.03,773.54
2014-12-04,6.03,6.13,756.53,742.16,741.85
2015-03-27,6.48,6.58,736.78,723.04,721.88
2015-04-09,6.15,6.25,788.9,774.17,773.65
2015-05-22,5.75,5.85,865.72,849.59,848.96
2015-04-01,6.4,6.5,749.53,735.56,735.04
2015-04-02,6.3,6.4,765.36,751.07,749.53
2015-07-01,6.1,6.2,824.11,808.88,808.48
2014-09-03,5.28,5.38,850.2,833.72,833.48
2014-09-04,5.33,5.43,842.16,825.84,825.6
2014-08-12,6.03,6.13,730.54,716.44,716.27
2014-06-10,6.09,6.19,711.3,697.46,697.19
2014-07-29,5.94,6.04,742.15,727.78,727.58
2014-07-30,5.99,6.09,735.13,720.9,720.71
2014-12-09,6.03,6.13,757.6,743.21,742.91
2014-11-19,6.33,6.43,710.88,697.38,696.75
2014-12-10,6.11,6.21,746.37,732.21,731.91
2014-11-20,6.15,6.25,735.75,721.76,721.46
2014-12-01,5.78,5.88,792.82,777.71,777.4
2015-03-09,6.49,6.59,726.31,712.73,712.24
2014-12-12,6.3,6.4,720.54,706.9,706.37
2015-06-24,5.93,6.03,848.14,832.43,832.01
2015-04-10,6.18,6.28,785.63,770.97,769.81
2015-07-14,6.3,6.4,798.36,783.67,783.27
2015-07-15,6.32,6.42,795.73,781.09,780.76
2015-04-13,6.14,6.24,792.1,777.31,776.8
2015-05-21,5.76,5.86,863.45,847.36,847.02
2014-09-09,5.53,5.63,810.71,795.04,794.81
2014-09-16,5.91,6.01,754.22,739.71,739.44
2014-08-18,5.86,5.96,756.11,741.5,741.27
2014-11-21,6.15,6.25,736.31,722.31,721.76
2015-01-07,6.08,6.18,758.97,744.61,744.25
2015-01-08,6.1,6.2,756.44,742.14,741.78
2014-12-19,6.34,6.44,717.2,703.64,702.92
2014-11-24,5.86,5.96,778.86,764.01,763.71
2015-04-28,6.05,6.15,810.67,795.55,795.17
2015-06-02,5.9,6.0,844.41,828.72,828.38
2015-06-05,5.94,6.04,839.23,823.65,823.01
2015-07-17,6.29,6.39,801.1,786.36,785.77
2015-07-20,6.32,6.42,796.97,782.32,782.0
2015-06-19,5.94,6.04,844.96,829.3,828.59
2015-07-21,6.3,6.4,800.27,785.55,785.23
2015-04-17,5.99,6.09,816.82,801.57,800.85
2014-08-15,6.07,6.17,725.54,711.55,711.22
2014-08-27,5.68,5.78,784.96,769.79,769.55
2014-06-20,6.16,6.26,704.13,690.46,689.78
2014-06-25,6.15,6.25,706.28,692.58,692.07
2014-09-17,5.81,5.91,769.3,754.49,754.22
2014-11-25,5.85,5.95,780.68,765.8,765.49
2015-01-09,6.09,6.19,758.58,744.23,743.5
2015-02-27,6.31,6.41,747.19,733.18,732.16
2015-01-13,6.07,6.17,762.22,747.81,747.45
2015-01-14,6.05,6.15,765.5,751.03,750.67
2015-06-26,6.03,6.13,833.7,818.28,817.43
2015-05-04,6.09,6.19,806.34,791.32,790.94
2015-03-30,6.51,6.61,733.14,719.48,718.98
2015-06-15,5.91,6.01,847.88,832.15,831.78
2015-04-06,6.32,6.42,763.01,748.77,748.25
2015-04-16,5.98,6.08,817.64,802.37,802.0
2015-07-09,6.26,6.36,802.69,787.9,787.5
2015-07-10,6.26,6.36,803.51,788.71,787.9
2015-04-07,6.29,6.39,767.86,753.54,753.01
2014-08-28,5.52,5.62,810.13,794.45,794.21
2014-08-26,5.74,5.84,775.58,760.6,760.36
2014-09-23,6.02,6.12,739.97,725.77,725.48
2014-06-27,6.08,6.18,716.74,702.83,702.14
2014-12-16,6.44,6.54,702.22,688.95,688.6
2014-12-17,6.43,6.53,703.91,690.61,690.26
2015-01-30,5.94,6.04,789.54,774.63,773.53
2015-03-10,6.51,6.61,724.06,710.53,710.05
2015-03-12,6.45,6.55,733.31,719.61,719.11
2015-03-19,6.39,6.49,744.88,730.96,730.45
2015-05-05,6.1,6.2,805.21,790.21,789.83
2015-05-06,6.1,6.2,805.6,790.6,790.21
2015-06-17,5.95,6.05,842.29,826.68,826.31
2015-06-18,5.92,6.02,847.41,831.7,831.33
2015-03-23,6.5,6.6,731.29,717.65,717.15
2015-06-03,5.94,6.04,838.59,823.01,822.53
2015-07-16,6.3,6.4,799.02,784.32,783.99
2015-05-25,5.72,5.82,871.03,854.8,854.45
2014-09-24,5.98,6.08,746.02,731.7,731.41
2014-10-03,6.16,6.26,722.89,709.05,708.55
2014-06-30,6.18,6.28,702.83,689.2,688.95
2015-03-11,6.5,6.6,725.93,712.37,711.88
2015-03-13,6.61,6.71,712.63,699.33,698.24
2015-03-16,6.5,6.6,728.06,714.47,713.97
2015-03-03,6.22,6.32,760.98,746.71,746.24
2015-05-12,6.02,6.12,819.55,804.29,803.91
2015-04-15,6.02,6.12,811.13,795.98,795.62
2015-06-25,5.93,6.03,848.55,832.84,832.43
2015-06-29,6.01,6.11,837.23,821.75,821.34
2015-05-07,6.09,6.19,807.5,792.47,792.08
2015-03-24,6.47,6.57,735.95,722.23,721.72
2015-04-29,6.07,6.17,808.01,792.95,792.56
2015-04-30,6.02,6.12,816.64,801.41,800.44
2014-07-01,6.21,6.31,698.97,685.42,685.17
2014-08-29,5.51,5.61,812.08,796.36,796.0
2014-09-25,5.9,6.0,757.99,743.42,743.14
2014-10-06,5.7,5.8,790.59,775.39,775.09
2014-10-07,5.83,5.93,771.18,756.38,756.09
2015-03-17,6.51,6.61,727.2,713.63,713.12
2015-02-24,6.33,6.43,742.27,728.35,727.9
2015-02-25,6.38,6.48,735.86,722.08,721.62
2015-02-26,6.32,6.42,744.74,730.78,730.31
2015-03-05,6.3,6.4,750.48,736.43,735.96
2014-10-20,5.59,5.69,812.02,796.43,796.12
2015-03-25,6.48,6.58,735.08,721.37,720.87
2015-05-13,6.05,6.15,815.32,800.15,799.77
2015-06-30,6.08,6.18,826.78,811.5,811.09
2015-03-26,6.48,6.58,735.6,721.88,721.37
2015-05-29,5.84,5.94,853.28,837.41,836.76
2015-07-13,6.28,6.38,800.93,786.18,785.78
2014-07-02,6.17,6.27,704.72,691.06,690.81
2015-03-04,6.33,6.43,745.77,731.8,731.34
2014-12-02,5.93,6.03,770.58,755.92,755.61
2014-12-03,6.09,6.19,747.57,733.36,733.06
2015-01-16,6.04,6.14,768.45,753.93,752.92
2014-12-31,6.2,6.3,740.68,726.68,725.41
2014-12-22,6.3,6.4,723.06,709.38,709.03
2015-01-05,6.2,6.3,741.05,727.04,726.68
2014-12-26,6.25,6.35,731.64,717.8,717.08
2015-05-14,6.03,6.13,818.78,803.54,803.16
2015-05-08,6.07,6.17,811.12,796.02,795.27
2015-04-08,6.3,6.4,766.4,752.11,751.61
2015-05-15,5.86,5.96,846.01,830.25,829.62
2014-07-22,5.9,6.0,747.17,732.69,732.46
2014-07-17,6.13,6.23,713.51,699.7,699.48
2014-07-23,5.79,5.89,763.4,748.59,748.39
2015-01-20,6.03,6.13,770.84,756.28,755.82
2015-01-28,5.94,6.04,787.92,773.04,772.56
2015-01-29,5.96,6.06,785.41,770.59,770.1
2015-03-06,6.37,6.47,742.46,728.56,727.43
2014-10-21,5.97,6.07,754.71,740.28,739.98
2015-01-12,6.0,6.1,772.1,757.5,757.13
2014-12-29,6.24,6.34,733.4,719.53,719.17
2014-10-23,6.02,6.12,747.98,733.69,733.4
2015-05-18,5.81,5.91,854.35,838.43,838.09
2015-05-19,5.88,5.98,843.51,827.8,827.46
2015-07-02,6.13,6.23,819.92,804.78,804.37
2015-06-10,5.89,5.99,849.5,833.73,833.34
2015-05-20,5.89,5.99,842.26,826.58,826.25
2014-09-10,5.66,5.76,790.64,775.39,775.15
2014-09-02,5.43,5.53,825.36,809.39,809.15
2014-09-26,5.93,6.03,754.11,739.63,739.11
2014-09-08,5.41,5.51,829.69,813.64,813.4
2014-12-08,5.99,6.09,763.14,748.63,748.33
2015-01-22,5.92,6.02,788.13,773.23,772.77
2015-01-06,6.17,6.27,745.67,731.57,731.21
2014-10-24,6.11,6.21,735.62,721.57,721.06
2014-10-27,5.95,6.05,758.98,744.47,744.18
2015-02-05,6.18,6.28,756.18,741.95,741.48
2015-04-14,6.13,6.23,794.12,779.3,778.78
2015-06-11,5.95,6.05,840.39,824.8,824.41
2015-07-03,6.11,6.21,823.84,808.62,807.79
2015-05-26,5.8,5.9,858.37,842.39,842.04
2015-07-06,6.12,6.22,822.71,807.53,807.12
2014-09-29,6.14,6.24,724.32,710.45,710.16
2014-10-08,5.71,5.81,790.27,775.09,774.77
2014-09-12,5.62,5.72,797.44,782.05,781.69
2015-01-26,5.89,5.99,794.48,779.47,778.98
2015-02-02,6.02,6.12,778.08,763.41,762.92
2014-10-31,6.07,6.17,742.99,728.81,728.3
2014-11-10,6.25,6.35,719.22,705.53,705.26
2014-11-11,6.19,6.29,727.84,713.98,713.71
2015-02-06,6.23,6.33,750.11,736.0,734.94
2015-02-09,6.34,6.44,735.08,721.27,720.8
2015-04-22,6.09,6.19,802.64,787.67,787.29
2015-06-16,5.97,6.07,838.78,823.23,822.86
2015-05-11,5.97,6.07,826.91,811.5,811.12
2015-07-07,6.17,6.27,815.49,800.45,800.04
2015-04-23,6.07,6.17,806.06,791.03,790.64
2014-09-22,5.84,5.94,765.99,751.26,750.97
2014-10-02,6.22,6.32,714.05,700.38,700.1
2014-10-09,5.73,5.83,787.54,772.41,772.09
2014-10-10,5.68,5.78,795.84,780.55,779.94
2014-12-11,6.2,6.3,733.91,720.0,719.7
2014-10-17,5.66,5.76,800.77,785.4,784.84
2014-10-22,5.98,6.08,753.5,739.09,738.8
2015-02-03,6.1,6.2,766.8,752.36,751.88
2015-02-04,6.1,6.2,767.29,752.84,752.36
2014-11-04,6.06,6.16,745.0,730.78,730.5
2014-11-14,6.42,6.52,697.46,684.22,683.68
2014-11-17,6.39,6.49,701.8,688.47,688.16
2015-01-15,6.05,6.15,765.96,751.49,751.03
2014-11-12,6.27,6.37,717.0,703.36,703.09
2014-11-13,6.33,6.43,709.05,695.58,695.31
2015-02-10,6.33,6.43,736.94,723.1,722.63
2015-05-28,5.91,6.01,841.49,825.85,825.51
2015-07-08,6.21,6.31,810.19,795.25,794.45
2015-04-24,6.11,6.21,800.79,785.86,785.09
2014-10-13,5.54,5.64,818.1,802.37,802.05
2014-07-08,6.14,6.24,710.46,696.7,696.18
2014-07-15,6.12,6.22,714.45,700.62,700.4
2014-05-23,6.11,6.21,704.87,691.12,690.64
2014-11-05,6.17,6.27,729.67,715.76,715.48
2014-11-06,6.07,6.17,744.14,729.95,729.67
