Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2019-05-22,8.56,8.68,631.15,627.25,627.05
2019-05-31,8.16,8.28,645.75,641.77,641.56
2019-07-12,6.8,6.92,698.21,693.95,693.76
2019-08-12,6.96,7.08,696.42,692.24,692.05
2019-08-13,6.88,7.0,699.42,695.21,695.03
2019-06-24,7.22,7.34,680.77,676.58,676.39
2019-10-28,6.11,6.23,736.42,732.14,731.97
2019-10-29,6.03,6.15,739.47,735.17,734.99
2019-09-10,7.0,7.12,698.96,694.82,694.63
2020-02-14,6.04,6.16,752.12,748.0,747.82
2020-01-08,6.43,6.55,733.91,729.82,729.63
2020-04-06,6.96,7.08,727.79,723.95,723.75
2020-01-10,6.37,6.49,736.33,732.23,732.04
2019-06-03,8.13,8.25,646.95,642.96,642.76
2019-02-25,8.63,8.75,617.01,613.05,612.84
2019-06-04,7.9,8.02,654.86,650.82,650.62
2019-06-26,7.28,7.4,679.05,674.88,674.69
2019-08-14,6.89,7.01,699.25,695.05,694.86
2019-08-15,6.93,7.05,698.03,693.84,693.66
2019-08-16,6.88,7.0,699.97,695.77,695.59
2019-11-01,5.97,6.09,742.14,737.83,737.66
2019-09-12,6.93,7.05,701.75,697.61,697.42
2019-11-04,5.93,6.05,743.75,739.44,739.26
2019-11-05,6.02,6.14,740.68,736.39,736.22
2019-12-11,6.31,6.43,734.81,730.65,730.47
2020-03-23,8.19,8.31,687.39,683.77,683.55
2020-01-02,6.42,6.54,733.53,729.42,729.24
2019-11-22,6.41,6.53,729.0,724.83,724.65
2019-06-05,7.8,7.92,658.45,654.39,654.19
2019-01-29,8.84,8.96,606.21,602.28,602.07
2019-05-24,8.53,8.65,632.54,628.64,628.43
2019-03-18,8.55,8.67,622.29,618.33,618.12
2019-06-21,7.21,7.33,680.93,676.74,676.55
2019-06-25,7.26,7.38,679.56,675.38,675.19
2019-09-17,6.98,7.1,700.58,696.45,696.27
2019-09-23,6.72,6.84,710.37,706.18,706.0
2019-09-24,6.72,6.84,710.55,706.37,706.18
2019-08-02,6.93,7.05,696.36,692.16,691.97
2019-08-05,6.98,7.1,694.79,690.6,690.41
2019-08-06,6.98,7.1,694.98,690.79,690.6
2019-11-14,6.3,6.42,731.96,727.76,727.58
2019-11-06,6.05,6.17,739.78,735.5,735.33
2020-03-24,8.38,8.5,681.88,678.3,678.08
2020-03-26,7.61,7.73,705.82,702.1,701.89
